survey_id,site_code,survey_start,survey_end,survey_method,observation_hours,observed_bat_count,acoustic_detection_count,nightly_visit_count,colony_estimate,comparison_species_count,observer_team,survey_quality,weather_interference
BAT-0000001,KNT-KES,2019-01-05T18:00:00,2019-01-12T00:00:00,fixed_acoustic_station,28.6,7,13,7,3.8,8,TEAM-11-2,high,32.0
BAT-0000002,KNT-KES,2019-02-05T18:00:00,2019-02-12T00:00:00,acoustic_and_visual,31.7,8,12,9,7.3,18,TEAM-11-2,acceptable,18.5
BAT-0000003,KNT-KES,2019-03-05T18:00:00,2019-03-12T00:00:00,fixed_acoustic_station,32.4,22,28,14,19.9,8,TEAM-11-2,high,26.2
BAT-0000004,KNT-KES,2019-04-05T18:00:00,2019-04-12T00:00:00,acoustic_and_visual,35.7,26,36,19,32.2,14,TEAM-11-2,high,35.0
BAT-0000005,KNT-KES,2019-05-05T18:00:00,2019-05-12T00:00:00,acoustic_transect,32.0,23,29,22,20.9,16,TEAM-11-2,acceptable,38.7
BAT-0000006,KNT-KES,2019-06-05T18:00:00,2019-06-12T00:00:00,acoustic_and_visual,23.5,21,39,10,20.2,14,TEAM-11-2,acceptable,31.6
BAT-0000007,KNT-KES,2019-07-05T18:00:00,2019-07-12T00:00:00,acoustic_and_visual,27.5,19,22,20,24.3,10,TEAM-11-2,acceptable,60.1
BAT-0000008,KNT-KES,2019-08-05T18:00:00,2019-08-12T00:00:00,fixed_acoustic_station,23.1,13,15,11,14.2,13,TEAM-11-2,acceptable,58.4
BAT-0000009,KNT-KES,2019-09-05T18:00:00,2019-09-12T00:00:00,acoustic_transect,29.7,10,13,11,10.0,9,TEAM-11-2,acceptable,62.2
BAT-0000010,KNT-KES,2019-10-05T18:00:00,2019-10-12T00:00:00,acoustic_and_visual,32.2,21,23,3,18.1,21,TEAM-11-2,high,33.4
BAT-0000011,KNT-KES,2019-11-05T18:00:00,2019-11-12T00:00:00,acoustic_transect,33.0,18,22,11,18.6,12,TEAM-11-2,high,19.1
BAT-0000012,KNT-KES,2019-12-05T18:00:00,2019-12-12T00:00:00,acoustic_and_visual,30.1,16,12,11,20.6,13,TEAM-11-2,limited,7.9
BAT-0000013,KNT-KES,2020-01-05T18:00:00,2020-01-12T00:00:00,acoustic_and_visual,35.4,17,36,13,16.9,11,TEAM-11-2,high,16.5
BAT-0000014,KNT-KES,2020-02-05T18:00:00,2020-02-12T00:00:00,fixed_acoustic_station,43.5,28,31,27,27.8,7,TEAM-11-2,high,24.6
BAT-0000015,KNT-KES,2020-03-05T18:00:00,2020-03-12T00:00:00,fixed_acoustic_station,34.3,31,18,16,34.5,11,TEAM-11-2,acceptable,37.6
BAT-0000016,KNT-KES,2020-04-05T18:00:00,2020-04-12T00:00:00,acoustic_and_visual,27.3,28,31,15,28.5,14,TEAM-11-2,acceptable,31.9
BAT-0000017,KNT-KES,2020-05-05T18:00:00,2020-05-12T00:00:00,acoustic_and_visual,33.9,32,31,19,25.3,9,TEAM-11-2,high,38.0
BAT-0000018,KNT-KES,2020-06-05T18:00:00,2020-06-12T00:00:00,acoustic_transect,23.2,18,15,15,22.7,14,TEAM-11-2,acceptable,60.8
BAT-0000019,KNT-KES,2020-07-05T18:00:00,2020-07-12T00:00:00,acoustic_transect,27.2,21,27,18,22.7,10,TEAM-11-2,high,47.2
BAT-0000020,KNT-KES,2020-08-05T18:00:00,2020-08-12T00:00:00,acoustic_and_visual,25.6,9,15,10,9.2,14,TEAM-11-2,acceptable,56.2
BAT-0000021,KNT-KES,2020-09-05T18:00:00,2020-09-12T00:00:00,fixed_acoustic_station,12.2,7,5,5,5.3,14,TEAM-11-2,limited,58.5
BAT-0000022,KNT-KES,2020-10-05T18:00:00,2020-10-12T00:00:00,acoustic_and_visual,28.1,11,16,10,9.0,10,TEAM-11-2,acceptable,49.7
BAT-0000023,KNT-KES,2020-11-05T18:00:00,2020-11-12T00:00:00,acoustic_and_visual,32.2,9,15,10,11.3,12,TEAM-11-2,high,41.0
BAT-0000024,KNT-KES,2020-12-05T18:00:00,2020-12-12T00:00:00,acoustic_and_visual,37.8,24,31,16,29.2,8,TEAM-11-2,high,6.9
BAT-0000025,KNT-KES,2021-01-05T18:00:00,2021-01-12T00:00:00,fixed_acoustic_station,33.0,17,26,9,17.1,7,TEAM-11-2,acceptable,32.4
BAT-0000026,KNT-KES,2021-02-05T18:00:00,2021-02-12T00:00:00,fixed_acoustic_station,34.5,25,34,20,19.2,10,TEAM-11-2,high,23.1
BAT-0000027,KNT-KES,2021-03-05T18:00:00,2021-03-12T00:00:00,acoustic_and_visual,34.5,38,47,17,50.3,18,TEAM-11-2,high,23.3
BAT-0000028,KNT-KES,2021-04-05T18:00:00,2021-04-12T00:00:00,fixed_acoustic_station,37.2,9,6,5,10.6,6,TEAM-11-2,high,24.7
BAT-0000029,KNT-KES,2021-05-05T18:00:00,2021-05-12T00:00:00,fixed_acoustic_station,32.7,11,18,7,9.8,9,TEAM-11-2,acceptable,44.3
BAT-0000030,KNT-KES,2021-06-05T18:00:00,2021-06-12T00:00:00,acoustic_transect,29.5,5,12,8,5.3,13,TEAM-11-2,acceptable,41.3
BAT-0000031,KNT-KES,2021-07-05T18:00:00,2021-07-12T00:00:00,acoustic_and_visual,25.8,9,3,5,9.5,19,TEAM-11-2,high,57.0
BAT-0000032,KNT-KES,2021-08-05T18:00:00,2021-08-12T00:00:00,fixed_acoustic_station,31.7,12,12,8,11.7,19,TEAM-11-2,high,56.1
BAT-0000033,KNT-KES,2021-09-05T18:00:00,2021-09-12T00:00:00,acoustic_transect,29.7,5,13,13,4.5,12,TEAM-11-2,high,41.9
BAT-0000034,KNT-KES,2021-10-05T18:00:00,2021-10-12T00:00:00,acoustic_transect,29.3,7,17,4,7.8,12,TEAM-11-2,acceptable,35.7
