document_id,site_code,document_date,document_type,author_name,author_organization,reporting_period,title,text,related_survey_id,related_device_reference,publication_status
EFR-510088,KNT-KES,2024-04-02,ecological_incident_report,Anika Dren,Horizon Field Research Cooperative,2024-04,Post-Access Ecological Incident at KNT-KES,"INCIDENT
A post-access inspection was conducted at KNT-KES after the March access window. The acoustic station remained operational, but the subsequent survey recorded a marked reduction in *Eonycteris spelaea* activity compared with other environmentally similar months.

EVIDENCE
Device uptime was above ninety percent and the acoustic-quality record did not show a sustained fault. Weather interference was moderate and does not account for the full change. Visual inspection identified fresh handling marks near the secondary entrance, two short lengths of cut restraint material, and disturbed sediment along a route not used by the monitoring team. No dead animals were found. The access register confirms authorized equipment entry, although the declared purpose was routine monitoring maintenance.

IMMEDIATE ACTION
The entrance was photographed, the cut material was retained, and the station configuration was checked against the prior record. A repeat survey and a comparison with adjacent sites were requested. The access authority was asked to preserve the associated case file.

UNCERTAINTY
The observations are consistent with recent removal or handling activity, but they do not identify who conducted it or why. Seasonal movement, unrecorded disturbance, and temporary roost relocation remain alternatives. The report therefore records an unexplained post-access bat deficit with functioning devices and physical traces; it does not assign a covert operation or final use.",BAT-0000064,DEV-KNTKES-2,restricted
EFR-510082,KNT-JAK,2019-04-01,field_observation,Vera Waren,Pollinator Justice Network,2019-04,Field Observation 27,"SITE AND TIME
Field observation at KNT-JAK during sensor maintenance cycle.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001000. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns sensor maintenance cycle and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns sensor maintenance cycle and includes recorded effort, weather, and device-quality limitations.

AUTHORIZED ACTIVITY
A licensed bat collection for tagging and release was completed by the conservation team; all animals were returned at the capture point.",BAT-0001000,DEV-KNTJAK-3,restricted
EFR-510035,KNT-JQG,2022-09-08,field_observation,Uma Wessen,Horizon Field Research Cooperative,2022-09,Field Observation 28,"SITE AND TIME
Field observation at KNT-JQG during habitat disturbance assessment.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001037. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns habitat disturbance assessment and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns habitat disturbance assessment and includes recorded effort, weather, and device-quality limitations.",BAT-0001037,DEV-KNTJQG-1,internal
EFR-510007,KNT-JQG,2025-02-15,field_observation,J. Varlan,Varlan Natural History Circle,2025-02,Field Observation 29,"SITE AND TIME
Field observation at KNT-JQG during rainfall exception review.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001074. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns rainfall exception review and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns rainfall exception review and includes recorded effort, weather, and device-quality limitations.",BAT-0001074,DEV-KNTJQG-1,public
EFR-510031,KNT-VLB,2020-07-22,field_observation,Jonah Bell,Bell Conservation Survey,2020-07,Field Observation 30,"SITE AND TIME
Field observation at KNT-VLB during fruit-set monitoring.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001111. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns fruit-set monitoring and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns fruit-set monitoring and includes recorded effort, weather, and device-quality limitations.",BAT-0001111,DEV-KNTVLB-2,internal
EFR-510020,KNT-VLB,2023-12-02,field_observation,Julien Marot,Marot Ecological Policy Office,2023-12,Field Observation 31,"SITE AND TIME
Field observation at KNT-VLB during access-path inspection.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001148. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns access-path inspection and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns access-path inspection and includes recorded effort, weather, and device-quality limitations.",BAT-0001148,DEV-KNTVLB-2,internal
EFR-510048,KNT-CHP,2018-05-09,field_observation,Ilyan Rho,Avelora Agricultural Resilience Agency,2018-05,Field Observation 32,"SITE AND TIME
Field observation at KNT-CHP during seasonal bat monitoring.

METHOD
The team completed a standard dusk transect and reviewed survey BAT-0001185. Effort and weather were recorded.

OBSERVATIONS
Bat activity and comparison-species counts varied across the interval. Vegetation and access conditions showed no acute change.

LIMITATIONS
Wind and intermittent background noise reduced certainty in part of the survey.

The reporting interval concerns seasonal bat monitoring and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns seasonal bat monitoring and includes recorded effort, weather, and device-quality limitations.",BAT-0001185,DEV-KNTCHP-3,internal
EFR-510026,KNT-CHP,2021-10-16,monitoring_report,Mara Venn,Lantern Investigative Bureau,2021-10,Monthly Monitoring Report 33,"PERIOD
Monitoring report for KNT-CHP, focused on orchard pollination survey.

METHODS
Acoustic, visual, environmental, orchard, and device records were compared. Survey BAT-0001222 was included with effort and weather controls.

RESULTS
Activity followed the broad seasonal pattern, with local variation around rainfall and flowering. Device coverage was adequate for trend interpretation.

COMPARISON
Neighboring sites showed both higher and lower counts, so the current interval is not uniquely anomalous.

LIMITATIONS
Short-term movement and unmeasured disturbance remain possible.

The reporting interval concerns orchard pollination survey and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns orchard pollination survey and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns orchard pollination survey and includes recorded effort, weather, and device-quality limitations.

PERMIT CONTEXT
A separate licensed bat collection was recorded at a neighboring site for tagging and release, providing an ordinary comparison for handling-related terminology.",BAT-0001222,DEV-KNTCHP-3,internal
EFR-510037,KNT-YRG,2024-03-23,monitoring_report,Selene Aras,Threshold Earth Observatory,2024-03,Monthly Monitoring Report 34,"PERIOD
Monitoring report for KNT-YRG, focused on cave microclimate review.

METHODS
Acoustic, visual, environmental, orchard, and device records were compared. Survey BAT-0001259 was included with effort and weather controls.

RESULTS
Activity followed the broad seasonal pattern, with local variation around rainfall and flowering. Device coverage was adequate for trend interpretation.

COMPARISON
Neighboring sites showed both higher and lower counts, so the current interval is not uniquely anomalous.

LIMITATIONS
Short-term movement and unmeasured disturbance remain possible.

The reporting interval concerns cave microclimate review and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns cave microclimate review and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns cave microclimate review and includes recorded effort, weather, and device-quality limitations.",BAT-0001259,DEV-KNTYRG-1,restricted
EFR-510054,KNT-YRG,2019-08-03,monitoring_report,Rayan Belen,Belen Agro-Industries,2019-08,Monthly Monitoring Report 35,"PERIOD
Monitoring report for KNT-YRG, focused on sensor maintenance cycle.

METHODS
Acoustic, visual, environmental, orchard, and device records were compared. Survey BAT-0001296 was included with effort and weather controls.

RESULTS
Activity followed the broad seasonal pattern, with local variation around rainfall and flowering. Device coverage was adequate for trend interpretation.

COMPARISON
Neighboring sites showed both higher and lower counts, so the current interval is not uniquely anomalous.

LIMITATIONS
Short-term movement and unmeasured disturbance remain possible.

The reporting interval concerns sensor maintenance cycle and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns sensor maintenance cycle and includes recorded effort, weather, and device-quality limitations.

Bat activity was interpreted alongside habitat condition, flowering, fruit set, disturbance, and comparison-species observations.

The programme retained raw survey and device references so that low counts can be separated from poor monitoring coverage.

Observed changes may reflect movement, weather, access, pesticide exposure, habitat disturbance, or ordinary seasonal variation.

The report does not convert an unusual count into a claim about organized removal.

A repeat interval and comparison with neighboring sites were recommended.

The reporting interval concerns sensor maintenance cycle and includes recorded effort, weather, and device-quality limitations.",BAT-0001296,DEV-KNTYRG-1,public
