site_code,reporting_month,mean_temperature_c,rainfall_mm,mean_humidity_pct,vegetation_cover_pct,habitat_disturbance_index,pesticide_index,land_use_category,weather_exception_code,data_completeness_pct
AVL-ABG,2019-01-01,27.28,118.9,69.2,61.1,21.1,39.0,mixed_forest,NONE,96.2
AVL-ABG,2019-02-01,28.78,91.4,67.7,54.9,16.8,42.1,mixed_forest,NONE,95.3
AVL-ABG,2019-03-01,28.7,62.6,73.7,59.2,13.9,37.4,mixed_forest,NONE,90.4
AVL-ABG,2019-04-01,28.64,70.2,68.5,61.8,11.1,32.9,mixed_forest,NONE,99.1
AVL-ABG,2019-05-01,28.66,96.6,71.3,61.6,23.6,38.8,mixed_forest,NONE,100.0
AVL-ABG,2019-06-01,28.62,156.7,73.7,65.7,12.9,29.5,mixed_forest,NONE,95.8
AVL-ABG,2019-07-01,26.41,208.7,81.4,71.0,3.3,39.1,mixed_forest,NONE,96.7
AVL-ABG,2019-08-01,25.73,279.4,86.1,73.4,11.8,36.7,mixed_forest,NONE,93.9
AVL-ABG,2019-09-01,26.59,269.5,85.9,79.0,18.1,44.1,mixed_forest,HEAVY_RAIN,97.3
AVL-ABG,2019-10-01,25.68,299.7,78.3,67.8,6.7,36.7,mixed_forest,NONE,96.5
AVL-ABG,2019-11-01,26.08,246.2,77.8,71.8,14.2,47.3,mixed_forest,NONE,95.3
AVL-ABG,2019-12-01,25.55,150.8,80.6,67.8,13.8,40.6,mixed_forest,NONE,97.2
AVL-ABG,2020-01-01,26.58,133.8,71.3,55.4,15.8,37.2,mixed_forest,NONE,91.6
AVL-ABG,2020-02-01,28.38,95.2,65.9,60.5,12.8,39.1,mixed_forest,NONE,91.0
AVL-ABG,2020-03-01,29.08,68.0,63.3,56.7,18.6,26.9,mixed_forest,NONE,95.2
AVL-ABG,2020-04-01,29.6,24.8,66.6,63.0,4.4,33.8,mixed_forest,DRY_SPELL,100.0
AVL-ABG,2020-05-01,28.56,131.7,69.5,61.4,14.7,45.9,mixed_forest,NONE,96.5
AVL-ABG,2020-06-01,27.05,158.5,70.9,62.1,11.4,36.9,mixed_forest,NONE,95.4
AVL-ABG,2020-07-01,28.31,190.5,83.7,72.1,14.7,45.0,mixed_forest,NONE,94.3
AVL-ABG,2020-08-01,26.18,291.4,81.5,74.0,19.2,26.5,mixed_forest,NONE,96.3
AVL-ABG,2020-09-01,24.63,262.1,77.4,67.6,18.4,33.3,mixed_forest,NONE,95.7
AVL-ABG,2020-10-01,24.8,253.6,81.0,77.1,10.9,33.4,mixed_forest,NONE,94.8
AVL-ABG,2020-11-01,26.25,178.3,78.6,69.2,11.3,40.8,mixed_forest,NONE,95.5
AVL-ABG,2020-12-01,26.82,171.9,76.1,66.5,17.9,31.3,mixed_forest,NONE,99.6
AVL-ABG,2021-01-01,27.23,106.2,68.1,67.1,21.6,33.4,mixed_forest,NONE,91.2
AVL-ABG,2021-02-01,28.74,56.0,70.5,56.1,7.5,31.8,mixed_forest,NONE,95.9
AVL-ABG,2021-03-01,28.2,65.4,65.8,56.4,18.3,26.3,mixed_forest,NONE,93.6
AVL-ABG,2021-04-01,29.35,77.8,64.9,53.8,12.0,38.0,mixed_forest,NONE,100.0
AVL-ABG,2021-05-01,28.43,121.2,69.9,67.5,17.6,20.6,mixed_forest,NONE,95.3
AVL-ABG,2021-06-01,27.82,143.8,78.5,69.7,17.7,38.5,mixed_forest,NONE,98.9
AVL-ABG,2021-07-01,27.67,205.1,79.7,69.2,15.0,36.0,mixed_forest,NONE,93.4
AVL-ABG,2021-08-01,25.84,232.0,79.8,70.4,12.4,29.9,mixed_forest,NONE,100.0
AVL-ABG,2021-09-01,26.06,293.3,80.3,68.9,10.6,35.2,mixed_forest,NONE,95.7
